Action,Time,ISIN,Ticker,Name,No. of shares,Price / share,Currency (Price / share),Exchange rate,Result,Currency (Result),Total,Currency (Total),Notes,ID
Deposit,2020-12-04 11:14:16,,,,,,,,,,2000.00,"EUR","Bank Transfer",ba406bf2-11bb-4802-b964-d431b46c4115
Market buy,2020-12-15 08:49:52,JE00BDD9Q840,LOIL,"WisdomTree WTI Crude Oil 2x Leveraged",300.0000000000,4.06,USD,1.21340,,"EUR",1002.80,"EUR",,EOF658629809
Deposit,2020-12-17 08:30:05,,,,,,,,,,4000.00,"EUR","Bank Transfer",e0995317-80cf-4acd-9469-153b4ce52e74
Market buy,2021-01-13 15:15:41,IE00BJ38QD84,R2US,"SPDR Russell 2000 U.S. Small Cap (Acc)",20.0000000000,58.76,USD,1.21710,,"EUR",965.57,"EUR",,EOF822322151
Market buy,2021-01-13 15:23:01,IE00B53SZB19,CNDX,"iShares NASDAQ 100 (Acc)",3.0000000000,729.40,USD,1.21750,,"EUR",1797.29,"EUR",,EOF822328390
Market buy,2021-01-13 15:23:01,IE00B53SZB19,CNDX,"iShares NASDAQ 100 (Acc)",0.3387123000,728.64,USD,1.21749,,"EUR",202.71,"EUR",,EOF822328397
Market buy,2021-02-25 08:00:17,JE00BDD9Q840,LOIL,"WisdomTree WTI Crude Oil 2x Leveraged",170.0000000000,7.27,USD,1.21860,,"EUR",1014.20,"EUR",,EOF1110957891
Market buy,2021-03-09 11:15:37,IE00B53SZB19,CNDX,"iShares NASDAQ 100 (Acc)",1.6640330000,708.30,USD,1.19053,,"EUR",990.00,"EUR",,EOF1158356139
Market sell,2021-03-10 09:31:11,JE00BDD9Q840,LOIL,"WisdomTree WTI Crude Oil 2x Leveraged",300.0000000000,7.36,USD,1.18980,568.94,"EUR",1856.39,"EUR",,EOF1163862988
Market sell,2021-03-18 08:06:42,JE00BDD9Q840,LOIL,"WisdomTree WTI Crude Oil 2x Leveraged",170.0000000000,7.38,USD,1.19552,320.22,"EUR",1049.77,"EUR",,EOF1210724923