(EN);(FR)
account for;expliquer
act up;deconner
add up;calculer
aim at;cibler
answer back;repondre mal a quelqu'un
ask about;demander comment va quelqu'un
ask around;demander de l'aide ou un renseignement a quelqu'un
ask out;proposer un rendez-vous a quelqu'un
back up;sauvegarder
beat up;tabasser
bend down;se baisser
bend over;se pencher
blow out;souffler
blow up;faire sauter
break down;tomber en panne
break in;entrer par effraction
break up;rompre
breathe in;inspirer
breathe out;expirer
bring back;rapporter
bring up;elever
bump into;rencontrer par hasard