Date,Ticker,Type,Quantity,Price per share,Total Amount,Currency,FX Rate
2020-11-11T12:33:25.444906Z,,CASH TOP-UP,,,"$2,400",USD,1.18
2020-11-11T14:30:56.863989Z,V,BUY - MARKET,3.75957516,$212.79,$800,USD,1.18
2020-11-11T14:31:35.551864Z,PYPL,BUY - MARKET,4.27122263,$187.30,$800,USD,1.18
2020-11-11T14:32:25.752927Z,MA,BUY - MARKET,2.37459186,$336.90,$800,USD,1.18
2020-12-01T00:17:30.088204Z,,CUSTODY FEE,,,-$0.02,USD,1.20
2020-12-02T08:34:39.520057Z,V,DIVIDEND,,,$1.02,USD,1.21
2020-12-07T09:44:34.264434Z,,CASH TOP-UP,,,"$2,500",USD,1.21
2020-12-07T16:27:39.737892Z,DIS,BUY - MARKET,5.75520833,$153.60,$884,USD,1.22
2020-12-07T16:28:35.584459Z,WORK,BUY - MARKET,20.48192771,$43.16,$884,USD,1.22
2020-12-07T16:30:04.720269Z,NYT,BUY - MARKET,15.68249893,$46.74,$733,USD,1.22
2020-12-29T15:13:24.222531Z,,CASH TOP-UP,,,"$1,300",USD,1.23
2021-01-01T02:42:10.875211Z,,CUSTODY FEE,,,-$0.04,USD,1.23
2021-01-06T16:14:12.834515Z,XOM,BUY - MARKET,17.89709172,$44.70,$800,USD,1.23
2021-01-13T14:58:14.557947Z,PLTR,BUY - MARKET,18.08785529,$27.09,$490,USD,1.22
2021-01-22T07:19:32.302156Z,NYT,DIVIDEND,,,$0.80,USD,1.22
2021-01-27T15:50:19.238937Z,,CASH TOP-UP,,,"$1,250",USD,1.21
2021-01-27T17:16:27.429793Z,MA,BUY - MARKET,0.8220564,$316.28,$260,USD,1.22
2021-02-01T00:27:37.283361Z,,CUSTODY FEE,,,-$0.06,USD,1.22
2021-02-10T06:33:07.134221Z,MA,DIVIDEND,,,$0.88,USD,1.22
2021-02-16T19:17:45.885152Z,BABA,BUY - MARKET,2.94063591,$272.05,$800,USD,1.22
2021-02-25T18:33:33.211394Z,PLTR,BUY - MARKET,8.27980132,$24.16,$200,USD,1.22
2021-03-01T03:00:34.987727Z,,CUSTODY FEE,,,-$0.07,USD,1.21
2021-03-02T05:28:00.398724Z,V,DIVIDEND,,,$1.02,USD,1.21
2021-03-11T05:35:29.637132Z,XOM,DIVIDEND,,,$13.23,USD,1.20
2021-04-01T04:10:49.345707Z,,CUSTODY FEE,,,-$0.80,USD,1.18
2021-04-23T04:28:54.862504Z,NYT,DIVIDEND,,,$0.93,USD,1.21
2021-05-01T08:34:29.061193Z,,CUSTODY FEE,,,-$0.82,USD,1.22
2021-05-06T18:17:23.224272Z,PLTR,SELL - MARKET,26.36765661,$19.66,$518.41,USD,1.21
2021-05-10T04:26:49.091325Z,MA,DIVIDEND,,,$1.20,USD,1.22
2021-06-01T09:46:18.239372Z,,CUSTODY FEE,,,-$0.75,USD,1.23
2021-06-02T04:51:25.631651Z,V,DIVIDEND,,,$1.02,USD,1.23
2021-06-11T04:37:14.614899Z,XOM,DIVIDEND,,,$13.23,USD,1.22
2021-07-01T09:37:38.610294Z,,CUSTODY FEE,,,-$0.77,USD,1.19
2021-07-23T04:26:39.535583Z,NYT,DIVIDEND,,,$0.93,USD,1.18
2021-07-26T04:23:38.722832Z,WORK,MERGER - STOCK,20.48192771,,$0,USD,1.18
2021-07-26T04:23:43.800555Z,CRM,MERGER - STOCK,1.58939759,,$0,USD,1.18
2021-07-26T04:29:50.213709Z,CRM,MERGER - CASH,,,$548.71,USD,1.18
2021-08-01T13:23:57.533146Z,,CUSTODY FEE,,,-$0.70,USD,1.20
2021-08-10T05:04:48.603536Z,MA,DIVIDEND,,,$1.20,USD,1.18
2021-08-19T17:18:13.227075Z,BABA,SELL - MARKET,2.94063591,$162.58,$478.08,USD,1.17
2021-09-01T09:30:57.771502Z,,CUSTODY FEE,,,-$0.65,USD,1.19
2021-09-02T04:57:35.852225Z,V,DIVIDEND,,,$1.02,USD,1.19
2021-09-13T04:47:36.890362Z,XOM,DIVIDEND,,,$13.23,USD,1.18
2021-10-01T09:40:14.247553Z,,CUSTODY FEE,,,-$0.63,USD,1.16
2021-10-25T04:32:21.727598Z,NYT,DIVIDEND,,,$0.93,USD,1.17
2021-11-03T06:27:29.654694Z,,CUSTODY FEE,,,-$0.63,USD,1.16
2021-11-10T08:08:52.397041Z,MA,DIVIDEND,,,$1.20,USD,1.16
2021-12-02T08:25:00.307427Z,,CUSTODY FEE,,,-$0.56,USD,1.14
2021-12-09T08:10:44.164264Z,V,DIVIDEND,,,$1.20,USD,1.14
2021-12-13T05:47:18.355879Z,XOM,DIVIDEND,,,$13.39,USD,1.14
2022-01-04T03:47:47.346471Z,,CUSTODY FEE,,,-$0.59,USD,1.14
2022-01-21T09:15:37.190983Z,NYT,DIVIDEND,,,$0.93,USD,1.14
2022-02-02T03:52:34.948371Z,,CUSTODY FEE,,,-$0.60,USD,1.13
2022-02-10T05:56:45.807941Z,MA,DIVIDEND,,,$1.33,USD,1.15
2022-03-02T05:59:29.186475Z,V,DIVIDEND,,,$1.20,USD,1.12
2022-03-02T08:58:39.391199Z,,CUSTODY FEE,,,-$0.57,USD,1.11
2022-03-02T14:40:33.728026Z,AMD,BUY - MARKET,3.46350333,$115.49,$400,USD,1.11
2022-03-11T05:32:10.619979Z,XOM,DIVIDEND,,,$13.39,USD,1.10
2022-04-02T05:54:40.729832Z,,CUSTODY FEE,,,-$0.62,USD,1.11
2022-04-22T06:41:24.822711Z,NYT,DIVIDEND,,,$1.20,USD,1.09
2022-05-03T09:10:57.981821Z,,CUSTODY FEE,,,-$0.57,USD,1.06
2022-05-10T06:54:35.928205Z,MA,DIVIDEND,,,$1.33,USD,1.06
2022-05-31T13:34:15.924553Z,PYPL,BUY - MARKET,3.54316759,$84.67,$300,USD,1.08
2022-06-02T04:22:06.315797Z,V,DIVIDEND,,,$1.20,USD,1.07
2022-06-02T10:08:02.472299Z,,CUSTODY FEE,,,-$0.61,USD,1.07
2022-06-13T04:27:02.996022Z,XOM,DIVIDEND,,,$13.39,USD,1.05
2022-07-02T07:09:40.298782Z,,CUSTODY FEE,,,-$0.53,USD,1.05
2022-07-14T15:17:14.508326Z,WPC,BUY - MARKET,4.92065444,$81.29,$400,USD,1.01
2022-07-15T22:19:16.864690Z,,CASH WITHDRAWAL,,,-$534.01,USD,1.01
2022-07-15T22:19:16.864711Z,,CASH WITHDRAWAL,,,-$534.01,USD,1.01
2022-07-22T05:58:14.806156Z,NYT,DIVIDEND,,,$1.20,USD,1.02
2022-08-02T05:32:45.810667Z,,CUSTODY FEE,,,-$0.65,USD,1.03
2022-08-03T13:35:29.821941Z,NNN,BUY - MARKET,8.37016112,$47.79,$400,USD,1.02
2022-08-10T06:03:35.680117Z,MA,DIVIDEND,,,$1.33,USD,1.03
2022-09-02T06:14:38.945556Z,V,DIVIDEND,,,$1.20,USD,1.00
2022-09-02T06:32:02.890396Z,,CUSTODY FEE,,,-$0.67,USD,1.00
2022-09-12T04:33:47.496116Z,XOM,DIVIDEND,,,$13.39,USD,1.01
2022-09-26T18:56:20.590977Z,CRM,SELL - MARKET,1.58939759,$147.27,$234.05,USD,0.97
2022-10-05T06:39:16.304434Z,,CUSTODY FEE,,,-$0.57,USD,1.00
2022-10-17T04:31:15.433405Z,WPC,DIVIDEND,,,$4.44,USD,0.98
2022-10-24T04:26:05.590197Z,NYT,DIVIDEND,,,$1.20,USD,0.99
2022-11-02T06:16:22.487876Z,,CUSTODY FEE,,,-$0.65,USD,0.99
2022-11-10T06:12:15.147438Z,MA,DIVIDEND,,,$1.33,USD,1.01
2022-11-16T06:37:31.511099Z,NNN,DIVIDEND,,,$3.91,USD,1.04
2022-12-02T04:05:30.652887Z,,CUSTODY FEE,,,-$0.67,USD,1.06
2022-12-02T06:22:45.594783Z,V,DIVIDEND,,,$1.44,USD,1.06
2022-12-12T05:23:24.282314Z,XOM,DIVIDEND,,,$13.85,USD,1.06
2022-12-14T06:40:53.316325Z,,CUSTODY FEE,,,-$0.67,USD,1.07
2023-01-04T06:22:32.525877Z,,CUSTODY FEE,,,-$0.64,USD,1.06
2023-01-09T14:33:38.470Z,BABA,BUY - MARKET,1.79388285,$111.49,$200,USD,1.08
2023-01-17T07:27:05.071140Z,WPC,DIVIDEND,,,$4.45,USD,1.09
2023-01-20T06:34:39.514193Z,NYT,DIVIDEND,,,$1.20,USD,1.09
2023-02-01T09:28:57.865712Z,,CUSTODY FEE,,,-$0.71,USD,1.09
2023-02-10T07:07:18.006034Z,MA,DIVIDEND,,,$1.55,USD,1.08
2023-02-16T07:09:23.204737Z,NNN,DIVIDEND,,,$3.91,USD,1.08
2023-02-28T16:23:14.778Z,MSFT,BUY - MARKET,0.79923273,$250.24,$200,USD,1.07
2023-03-02T05:09:33.521875Z,,CUSTODY FEE,,,-$0.71,USD,1.07
2023-03-02T07:41:47.464897Z,V,DIVIDEND,,,$1.44,USD,1.07
2023-03-13T14:43:10.890098Z,,CASH WITHDRAWAL,,,-$18.63,USD,1.08
2023-03-13T14:43:10.890132Z,,CASH WITHDRAWAL,,,-$18.63,USD,1.08
2023-03-14T06:35:45.159273Z,XOM,DIVIDEND,,,$13.85,USD,1.08
2023-04-04T05:14:43.897176Z,,CUSTODY FEE,,,-$0.73,USD,1.10
2023-04-17T05:02:38.503213Z,WPC,DIVIDEND,,,$4.46,USD,1.10
2023-04-21T05:59:47.393851Z,NYT,DIVIDEND,,,$1.47,USD,1.10
2023-05-02T14:17:19.550406Z,,CUSTODY FEE,,,-$0.75,USD,1.10
2023-05-10T11:20:58.040874Z,MA,DIVIDEND,,,$1.55,USD,1.10
2023-05-11T08:58:56.783229Z,,CASH TOP-UP,,,$400,USD,1.10
2023-05-16T04:37:03.767601Z,NNN,DIVIDEND,,,$3.91,USD,1.09
2023-05-16T13:51:12.129Z,XOM,SELL - MARKET,17.89709172,$103.99,"$1,861.13",USD,1.09
2023-05-17T13:30:08.766Z,O,BUY - MARKET,6.60463576,$60.40,$400,USD,1.09
2023-06-02T03:17:21.693614Z,,CUSTODY FEE,,,-$0.54,USD,1.08
2023-06-02T05:24:11.223750Z,V,DIVIDEND,,,$1.44,USD,1.08
2023-06-09T05:36:45.229442Z,MSFT,DIVIDEND,,,$0.46,USD,1.08
2023-06-13T04:32:55.181185Z,XOM,DIVIDEND,,,$13.85,USD,1.08
2023-06-16T04:37:49.805518Z,O,DIVIDEND,,,$1.43,USD,1.10
2023-06-22T18:33:25.131Z,INTC,BUY - MARKET,12.28562653,$32.56,$400,USD,1.10
2023-06-25T10:30:32.193976Z,NNN,TRANSFER FROM REVOLUT TRADING LTD TO REVOLUT SECURITIES EUROPE UAB,8.37016112,,$0,USD,1.09
2023-06-25T10:30:32.197186Z,DIS,TRANSFER FROM REVOLUT TRADING LTD TO REVOLUT SECURITIES EUROPE UAB,5.75520833,,$0,USD,1.09
2023-06-25T10:30:32.200462Z,MSFT,TRANSFER FROM REVOLUT TRADING LTD TO REVOLUT SECURITIES EUROPE UAB,0.79923273,,$0,USD,1.09
2023-06-25T10:30:32.203406Z,O,TRANSFER FROM REVOLUT TRADING LTD TO REVOLUT SECURITIES EUROPE UAB,6.60463576,,$0,USD,1.09
2023-06-25T10:30:32.206230Z,V,TRANSFER FROM REVOLUT TRADING LTD TO REVOLUT SECURITIES EUROPE UAB,3.75957516,,$0,USD,1.09
2023-06-25T10:30:32.209235Z,BABA,TRANSFER FROM REVOLUT TRADING LTD TO REVOLUT SECURITIES EUROPE UAB,1.79388285,,$0,USD,1.09
2023-06-25T10:30:32.212447Z,AMD,TRANSFER FROM REVOLUT TRADING LTD TO REVOLUT SECURITIES EUROPE UAB,3.46350333,,$0,USD,1.09
2023-06-25T10:30:32.215189Z,INTC,TRANSFER FROM REVOLUT TRADING LTD TO REVOLUT SECURITIES EUROPE UAB,12.28562653,,$0,USD,1.09
2023-06-25T10:30:32.217793Z,NYT,TRANSFER FROM REVOLUT TRADING LTD TO REVOLUT SECURITIES EUROPE UAB,15.68249893,,$0,USD,1.09
2023-06-25T10:30:32.220386Z,MA,TRANSFER FROM REVOLUT TRADING LTD TO REVOLUT SECURITIES EUROPE UAB,3.19664826,,$0,USD,1.09
2023-06-25T10:30:32.223554Z,PYPL,TRANSFER FROM REVOLUT TRADING LTD TO REVOLUT SECURITIES EUROPE UAB,7.81439022,,$0,USD,1.09
2023-06-25T10:30:32.226250Z,WPC,TRANSFER FROM REVOLUT TRADING LTD TO REVOLUT SECURITIES EUROPE UAB,4.92065444,,$0,USD,1.09
2023-06-25T10:30:32.284070Z,,TRANSFER FROM REVOLUT BANK UAB TO REVOLUT SECURITIES EUROPE UAB,,,"$1,520.16",USD,1.09
2023-07-02T04:21:57.270872Z,,CUSTODY FEE,,,-$0.61,USD,1.10
2023-07-17T11:15:20.491471Z,WPC,DIVIDEND,,,$4.47,USD,1.13
2023-07-17T18:07:48.077331Z,O,DIVIDEND,,,$1.43,USD,1.13
2023-07-28T10:07:47.171315Z,NYT,DIVIDEND,,,$1.46,USD,1.10
